State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2545.02, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2418.759, 0.0, 0.0, 0.0, 2627.925)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2312.443, 0.0, 0.0, 1.0, 2627.925)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2440.9, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2498.06, 0.0, 0.0, -1.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2451.592, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2328.745, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2122.318, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.333, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2017.704, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 1888.714, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2291.74, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2460.722, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2732.889, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2420.632, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2283.136, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2170.546, 0.0, 0.0, 0.0, 2627.925)",10
